Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2021-09-01 00:00,36,10,26,0,0,0
2021-09-01 00:15,22,5,17,0,0,0
2021-09-01 00:30,27,4,23,0,0,0
2021-09-01 00:45,30,10,20,0,0,0
2021-09-01 01:00,14,2,12,0,0,0
2021-09-01 01:15,3,1,2,0,0,0
2021-09-01 01:30,4,0,4,0,0,0
2021-09-01 01:45,16,7,9,0,0,0
2021-09-01 02:00,11,1,10,0,0,0
2021-09-01 02:15,9,0,9,0,0,0
2021-09-01 02:30,9,0,9,0,0,0
2021-09-01 02:45,3,0,3,0,0,0
2021-09-01 03:00,2,0,2,0,0,0
2021-09-01 03:15,2,0,2,0,0,0
2021-09-01 03:30,2,1,1,0,0,0
2021-09-01 03:45,1,1,0,0,0,0
2021-09-01 04:00,2,1,1,0,0,0
2021-09-01 04:15,4,1,3,0,0,0
2021-09-01 04:30,6,3,3,0,0,0
2021-09-01 04:45,7,4,3,0,0,0
2021-09-01 05:00,9,7,2,0,0,0
2021-09-01 05:15,8,6,2,0,0,0
2021-09-01 05:30,15,13,2,0,0,0
2021-09-01 05:45,24,20,4,0,0,0
2021-09-01 06:00,24,18,6,0,0,0
2021-09-01 06:15,42,27,15,0,0,0
2021-09-01 06:30,58,37,21,0,0,0
2021-09-01 06:45,65,42,23,0,0,0
2021-09-01 07:00,82,53,29,0,0,0
2021-09-01 07:15,182,114,68,0,0,0
2021-09-01 07:30,237,180,57,0,0,0
2021-09-01 07:45,333,219,114,0,0,0
2021-09-01 08:00,277,159,118,0,0,0
2021-09-01 08:15,189,114,75,0,0,0
2021-09-01 08:30,209,136,73,0,0,0
2021-09-01 08:45,226,127,99,0,0,0
2021-09-01 09:00,180,114,66,0,0,0
2021-09-01 09:15,143,84,59,0,0,0
2021-09-01 09:30,146,81,65,0,0,0
2021-09-01 09:45,183,105,78,0,0,0
2021-09-01 10:00,156,73,83,0,0,0
2021-09-01 10:15,133,81,52,0,0,0
2021-09-01 10:30,123,75,48,0,0,0
2021-09-01 10:45,119,67,52,0,0,0
2021-09-01 11:00,111,60,51,0,0,0
2021-09-01 11:15,135,77,58,0,0,0
2021-09-01 11:30,129,61,68,0,0,0
2021-09-01 11:45,164,89,75,0,0,0
2021-09-01 12:00,147,71,76,0,0,0
2021-09-01 12:15,160,89,71,0,0,0
2021-09-01 12:30,160,79,81,0,0,0
2021-09-01 12:45,170,85,85,0,0,0
2021-09-01 13:00,183,82,101,0,0,0
2021-09-01 13:15,160,72,88,0,0,0
2021-09-01 13:30,194,88,106,0,0,0
2021-09-01 13:45,195,74,121,0,0,0
2021-09-01 14:00,170,60,110,0,0,0
2021-09-01 14:15,174,83,91,0,0,0
2021-09-01 14:30,160,68,92,0,0,0
2021-09-01 14:45,206,80,126,0,0,0
2021-09-01 15:00,195,72,123,0,0,0
2021-09-01 15:15,184,74,110,0,0,0
2021-09-01 15:30,207,81,126,0,0,0
2021-09-01 15:45,259,104,155,0,0,0
2021-09-01 16:00,245,111,134,0,0,0
2021-09-01 16:15,186,87,99,0,0,0
2021-09-01 16:30,245,105,140,0,0,0
2021-09-01 16:45,235,107,128,0,0,0
2021-09-01 17:00,254,113,141,0,0,0
2021-09-01 17:15,201,108,93,0,0,0
2021-09-01 17:30,237,111,126,0,0,0
2021-09-01 17:45,248,118,130,0,0,0
2021-09-01 18:00,267,117,150,0,0,0
2021-09-01 18:15,198,92,106,0,0,0
2021-09-01 18:30,217,105,112,0,0,0
2021-09-01 18:45,227,125,102,0,0,0
2021-09-01 19:00,200,98,102,0,0,0
2021-09-01 19:15,171,95,76,0,0,0
2021-09-01 19:30,167,92,75,0,0,0
2021-09-01 19:45,178,97,81,0,0,0
2021-09-01 20:00,154,58,96,0,0,0
2021-09-01 20:15,173,82,91,0,0,0
2021-09-01 20:30,125,64,61,0,0,0
2021-09-01 20:45,124,51,73,0,0,0
2021-09-01 21:00,119,53,66,0,0,0
2021-09-01 21:15,95,27,68,0,0,0
2021-09-01 21:30,108,43,65,0,0,0
2021-09-01 21:45,84,29,55,0,0,0
2021-09-01 22:00,81,30,51,0,0,0
2021-09-01 22:15,98,37,61,0,0,0
2021-09-01 22:30,74,23,51,0,0,0
2021-09-01 22:45,61,19,42,0,0,0
2021-09-01 23:00,85,33,52,0,0,0
2021-09-01 23:15,51,23,28,0,0,0
2021-09-01 23:30,47,19,28,0,0,0
2021-09-01 23:45,56,18,38,0,0,0
2021-09-02 00:00,26,6,20,0,0,0
2021-09-02 00:15,32,8,24,0,0,0
2021-09-02 00:30,24,0,24,0,0,0
2021-09-02 00:45,25,7,18,0,0,0
2021-09-02 01:00,25,7,18,0,0,0
2021-09-02 01:15,23,3,20,0,0,0
2021-09-02 01:30,9,1,8,0,0,0
2021-09-02 01:45,17,10,7,0,0,0
2021-09-02 02:00,21,3,18,0,0,0
2021-09-02 02:15,27,4,23,0,0,0
2021-09-02 02:30,27,6,21,0,0,0
2021-09-02 02:45,21,0,21,0,0,0
2021-09-02 03:00,18,2,16,0,0,0
2021-09-02 03:15,28,2,26,0,0,0
2021-09-02 03:30,23,2,21,0,0,0
2021-09-02 03:45,10,0,10,0,0,0
2021-09-02 04:00,8,0,8,0,0,0
2021-09-02 04:15,15,2,13,0,0,0
2021-09-02 04:30,12,3,9,0,0,0
2021-09-02 04:45,11,5,6,0,0,0
2021-09-02 05:00,5,0,5,0,0,0
2021-09-02 05:15,18,10,8,0,0,0
2021-09-02 05:30,13,10,3,0,0,0
2021-09-02 05:45,32,21,11,0,0,0
2021-09-02 06:00,30,23,7,0,0,0
2021-09-02 06:15,38,23,15,0,0,0
2021-09-02 06:30,65,42,23,0,0,0
2021-09-02 06:45,70,42,28,0,0,0
2021-09-02 07:00,88,54,34,0,0,0
2021-09-02 07:15,153,104,49,0,0,0
2021-09-02 07:30,206,149,57,0,0,0
2021-09-02 07:45,309,203,106,0,0,0
2021-09-02 08:00,233,143,90,0,0,0
2021-09-02 08:15,184,113,71,0,0,0
2021-09-02 08:30,165,95,70,0,0,0
2021-09-02 08:45,219,123,96,0,0,0
2021-09-02 09:00,154,82,72,0,0,0
2021-09-02 09:15,118,58,60,0,0,0
2021-09-02 09:30,132,77,55,0,0,0
2021-09-02 09:45,173,96,77,0,0,0
2021-09-02 10:00,111,59,52,0,0,0
2021-09-02 10:15,110,61,49,0,0,0
2021-09-02 10:30,111,67,44,0,0,0
2021-09-02 10:45,104,63,41,0,0,0
2021-09-02 11:00,107,53,54,0,0,0
2021-09-02 11:15,115,60,55,0,0,0
2021-09-02 11:30,115,53,62,0,0,0
2021-09-02 11:45,119,62,57,0,0,0
2021-09-02 12:00,146,80,66,0,0,0
2021-09-02 12:15,142,77,65,0,0,0
2021-09-02 12:30,126,62,64,0,0,0
2021-09-02 12:45,163,75,88,0,0,0
2021-09-02 13:00,171,79,92,0,0,0
2021-09-02 13:15,185,69,116,0,0,0
2021-09-02 13:30,173,97,76,0,0,0
2021-09-02 13:45,204,88,116,0,0,0
2021-09-02 14:00,199,108,91,0,0,0
2021-09-02 14:15,209,99,110,0,0,0
2021-09-02 14:30,160,71,89,0,0,0
2021-09-02 14:45,217,107,110,0,0,0
2021-09-02 15:00,193,94,99,0,0,0
2021-09-02 15:15,185,87,98,0,0,0
2021-09-02 15:30,227,95,132,0,0,0
2021-09-02 15:45,277,118,159,0,0,0
2021-09-02 16:00,220,95,125,0,0,0
2021-09-02 16:15,266,134,132,0,0,0
2021-09-02 16:30,222,109,113,0,0,0
2021-09-02 16:45,231,104,127,0,0,0
2021-09-02 17:00,296,128,168,0,0,0
2021-09-02 17:15,275,142,133,0,0,0
2021-09-02 17:30,246,119,127,0,0,0
2021-09-02 17:45,215,99,116,0,0,0
2021-09-02 18:00,258,119,139,0,0,0
2021-09-02 18:15,234,112,122,0,0,0
2021-09-02 18:30,202,90,112,0,0,0
2021-09-02 18:45,234,114,120,0,0,0
2021-09-02 19:00,204,95,109,0,0,0
2021-09-02 19:15,188,91,97,0,0,0
2021-09-02 19:30,177,82,95,0,0,0
2021-09-02 19:45,189,99,90,0,0,0
2021-09-02 20:00,178,94,84,0,0,0
2021-09-02 20:15,153,67,86,0,0,0
2021-09-02 20:30,126,51,75,0,0,0
2021-09-02 20:45,118,54,64,0,0,0
2021-09-02 21:00,124,52,72,0,0,0
2021-09-02 21:15,85,39,46,0,0,0
2021-09-02 21:30,98,36,62,0,0,0
2021-09-02 21:45,96,26,70,0,0,0
2021-09-02 22:00,93,25,68,0,0,0
2021-09-02 22:15,103,50,53,0,0,0
2021-09-02 22:30,57,13,44,0,0,0
2021-09-02 22:45,75,22,53,0,0,0
2021-09-02 23:00,53,12,41,0,0,0
2021-09-02 23:15,78,22,56,0,0,0
2021-09-02 23:30,42,11,31,0,0,0
2021-09-02 23:45,38,10,28,0,0,0
2021-09-03 00:00,36,7,29,0,0,0
2021-09-03 00:15,31,9,22,0,0,0
2021-09-03 00:30,42,11,31,0,0,0
2021-09-03 00:45,30,8,22,0,0,0
2021-09-03 01:00,23,4,19,0,0,0
2021-09-03 01:15,16,4,12,0,0,0
2021-09-03 01:30,12,3,9,0,0,0
2021-09-03 01:45,8,2,6,0,0,0
2021-09-03 02:00,13,8,5,0,0,0
2021-09-03 02:15,7,3,4,0,0,0
2021-09-03 02:30,8,0,8,0,0,0
2021-09-03 02:45,8,1,7,0,0,0
2021-09-03 03:00,3,0,3,0,0,0
2021-09-03 03:15,6,2,4,0,0,0
2021-09-03 03:30,7,2,5,0,0,0
2021-09-03 03:45,2,1,1,0,0,0
2021-09-03 04:00,1,0,1,0,0,0
2021-09-03 04:15,5,2,3,0,0,0
2021-09-03 04:30,6,5,1,0,0,0
2021-09-03 04:45,5,3,2,0,0,0
2021-09-03 05:00,3,1,2,0,0,0
2021-09-03 05:15,18,12,6,0,0,0
2021-09-03 05:30,10,10,0,0,0,0
2021-09-03 05:45,26,16,10,0,0,0
2021-09-03 06:00,24,18,6,0,0,0
2021-09-03 06:15,41,26,15,0,0,0
2021-09-03 06:30,44,33,11,0,0,0
2021-09-03 06:45,72,49,23,0,0,0
2021-09-03 07:00,79,57,22,0,0,0
2021-09-03 07:15,152,100,52,0,0,0
2021-09-03 07:30,186,143,43,0,0,0
2021-09-03 07:45,305,214,91,0,0,0
2021-09-03 08:00,217,131,86,0,0,0
2021-09-03 08:15,169,88,81,0,0,0
2021-09-03 08:30,164,95,69,0,0,0
2021-09-03 08:45,200,103,97,0,0,0
2021-09-03 09:00,136,80,56,0,0,0
2021-09-03 09:15,127,85,42,0,0,0
2021-09-03 09:30,133,71,62,0,0,0
2021-09-03 09:45,163,91,72,0,0,0
2021-09-03 10:00,111,76,35,0,0,0
2021-09-03 10:15,124,72,52,0,0,0
2021-09-03 10:30,97,46,51,0,0,0
2021-09-03 10:45,146,67,79,0,0,0
2021-09-03 11:00,129,69,60,0,0,0
2021-09-03 11:15,121,56,65,0,0,0
2021-09-03 11:30,135,74,61,0,0,0
2021-09-03 11:45,171,75,96,0,0,0
2021-09-03 12:00,149,77,72,0,0,0
2021-09-03 12:15,157,65,92,0,0,0
2021-09-03 12:30,162,68,94,0,0,0
2021-09-03 12:45,153,81,72,0,0,0
2021-09-03 13:00,188,87,101,0,0,0
2021-09-03 13:15,225,72,153,0,0,0
2021-09-03 13:30,195,72,123,0,0,0
2021-09-03 13:45,254,102,152,0,0,0
2021-09-03 14:00,176,75,101,0,0,0
2021-09-03 14:15,194,87,107,0,0,0
2021-09-03 14:30,200,91,109,0,0,0
2021-09-03 14:45,212,103,109,0,0,0
2021-09-03 15:00,190,82,108,0,0,0
2021-09-03 15:15,199,83,116,0,0,0
2021-09-03 15:30,201,111,90,0,0,0
2021-09-03 15:45,218,130,88,0,0,0
2021-09-03 16:00,209,102,107,0,0,0
2021-09-03 16:15,190,87,103,0,0,0
2021-09-03 16:30,195,99,96,0,0,0
2021-09-03 16:45,246,123,123,0,0,0
2021-09-03 17:00,204,96,108,0,0,0
2021-09-03 17:15,154,81,73,0,0,0
2021-09-03 17:30,181,100,81,0,0,0
2021-09-03 17:45,192,105,87,0,0,0
2021-09-03 18:00,229,101,128,0,0,0
2021-09-03 18:15,207,100,107,0,0,0
2021-09-03 18:30,178,87,91,0,0,0
2021-09-03 18:45,225,127,98,0,0,0
2021-09-03 19:00,199,112,87,0,0,0
2021-09-03 19:15,195,116,79,0,0,0
2021-09-03 19:30,164,86,78,0,0,0
2021-09-03 19:45,187,104,83,0,0,0
2021-09-03 20:00,150,76,74,0,0,0
2021-09-03 20:15,157,75,82,0,0,0
2021-09-03 20:30,131,60,71,0,0,0
2021-09-03 20:45,127,62,65,0,0,0
2021-09-03 21:00,131,81,50,0,0,0
2021-09-03 21:15,100,61,39,0,0,0
