Datetime,100031297 (Promenade),101031297 (Promenade Radfahrer FR Mauritztor),102031297 (Promenade Radfahrer FR Salzstraße),103031297 (Promenade Radfahrer FR Mauritztor),104031297 (Promenade Radfahrer FR Salzstraße),105031297 (Promenade Radfahrer FR Mauritztor),106031297 (Promenade Radfahrer FR Salzstraße),100031297-status,101031297-status,102031297-status,103031297-status,104031297-status,105031297-status,106031297-status
2021-11-01 00:00,64,0,17,8,19,18,2,0,0,0,0,0,0,0
2021-11-01 00:15,61,0,20,5,22,14,0,0,0,0,0,0,0,0
2021-11-01 00:30,66,1,18,4,21,18,4,0,0,0,0,0,0,0
2021-11-01 00:45,79,0,21,8,25,19,6,0,0,0,0,0,0,0
2021-11-01 01:00,64,1,14,13,16,18,2,0,0,0,0,0,0,0
2021-11-01 01:15,57,1,15,9,11,20,1,0,0,0,0,0,0,0
2021-11-01 01:30,50,1,13,9,11,15,1,0,0,0,0,0,0,0
2021-11-01 01:45,59,0,24,7,11,16,1,0,0,0,0,0,0,0
2021-11-01 02:00,63,0,16,12,10,24,1,0,0,0,0,0,0,0
2021-11-01 02:15,59,0,16,9,12,21,1,0,0,0,0,0,0,0
2021-11-01 02:30,30,0,6,4,5,12,3,0,0,0,0,0,0,0
2021-11-01 02:45,36,1,11,6,8,7,3,0,0,0,0,0,0,0
2021-11-01 03:00,60,3,14,8,15,18,2,0,0,0,0,0,0,0
2021-11-01 03:15,36,0,10,9,5,11,1,0,0,0,0,0,0,0
2021-11-01 03:30,29,1,6,8,7,7,0,0,0,0,0,0,0,0
2021-11-01 03:45,34,0,10,5,5,10,4,0,0,0,0,0,0,0
2021-11-01 04:00,0,0,,,,,,0,0,,,,,
2021-11-01 04:15,0,0,,,,,,0,0,,,,,
2021-11-01 04:30,0,0,,,,,,0,0,,,,,
2021-11-01 04:45,0,0,,,,,,0,0,,,,,
2021-11-01 05:00,19,0,5,1,3,9,1,0,0,0,0,0,0,0
2021-11-01 05:15,33,1,8,4,10,10,0,0,0,0,0,0,0,0
2021-11-01 05:30,28,0,9,5,7,7,0,0,0,0,0,0,0,0
2021-11-01 05:45,32,1,7,9,5,9,1,0,0,0,0,0,0,0
2021-11-01 06:00,29,1,9,6,2,11,0,0,0,0,0,0,0,0
2021-11-01 06:15,23,0,9,2,6,5,1,0,0,0,0,0,0,0
2021-11-01 06:30,27,0,12,4,7,4,0,0,0,0,0,0,0,0
