Datetime,100031297 (Promenade),101031297 (Promenade Radfahrer FR Mauritztor),102031297 (Promenade Radfahrer FR Salzstraße),103031297 (Promenade Radfahrer FR Mauritztor),104031297 (Promenade Radfahrer FR Salzstraße),105031297 (Promenade Radfahrer FR Mauritztor),106031297 (Promenade Radfahrer FR Salzstraße),100031297-status,101031297-status,102031297-status,103031297-status,104031297-status,105031297-status,106031297-status
2021-02-01 00:00,5,0,1,2,0,2,0,0,0,0,0,0,0,0
2021-02-01 00:15,4,0,1,1,0,2,0,0,0,0,0,0,0,0
2021-02-01 00:30,2,0,1,0,0,1,0,0,0,0,0,0,0,0
2021-02-01 00:45,6,0,4,0,0,2,0,0,0,0,0,0,0,0
2021-02-01 01:00,6,0,4,1,1,0,0,0,0,0,0,0,0,0
2021-02-01 01:15,3,0,2,0,1,0,0,0,0,0,0,0,0,0
2021-02-01 01:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-01 01:45,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-01 02:00,3,0,1,2,0,0,0,0,0,0,0,0,0,0
2021-02-01 02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01 02:30,3,0,2,1,0,0,0,0,0,0,0,0,0,0
2021-02-01 02:45,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-02-01 03:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-01 03:15,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-02-01 03:30,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-02-01 03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01 04:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-02-01 04:15,4,0,4,0,0,0,0,0,0,0,0,0,0,0
2021-02-01 04:30,5,0,3,0,1,1,0,0,0,0,0,0,0,0
2021-02-01 04:45,6,0,1,0,0,5,0,0,0,0,0,0,0,0
2021-02-01 05:00,7,1,3,2,0,1,0,0,0,0,0,0,0,0
2021-02-01 05:15,14,0,8,1,1,4,0,0,0,0,0,0,0,0
2021-02-01 05:30,15,0,9,1,1,4,0,0,0,0,0,0,0,0
2021-02-01 05:45,26,0,15,0,2,9,0,0,0,0,0,0,0,0
2021-02-01 06:00,35,0,20,4,2,9,0,0,0,0,0,0,0,0
2021-02-01 06:15,58,0,34,2,4,17,1,0,0,0,0,0,0,0
2021-02-01 06:30,79,1,45,2,4,27,0,0,0,0,0,0,0,0
2021-02-01 06:45,101,1,65,1,8,26,0,0,0,0,0,0,0,0
2021-02-01 07:00,120,0,74,3,9,33,1,0,0,0,0,0,0,0
2021-02-01 07:15,141,3,92,2,7,37,0,0,0,0,0,0,0,0
2021-02-01 07:30,181,1,99,7,19,55,0,0,0,0,0,0,0,0
2021-02-01 07:45,207,2,109,5,17,72,2,0,0,0,0,0,0,0
2021-02-01 08:00,132,0,81,3,7,41,0,0,0,0,0,0,0,0
2021-02-01 08:15,150,2,90,2,17,38,1,0,0,0,0,0,0,0
2021-02-01 08:30,162,0,95,7,17,42,1,0,0,0,0,0,0,0
2021-02-01 08:45,171,0,103,7,11,49,1,0,0,0,0,0,0,0
2021-02-01 09:00,92,1,59,3,3,26,0,0,0,0,0,0,0,0
2021-02-01 09:15,118,0,62,8,6,42,0,0,0,0,0,0,0,0
2021-02-01 09:30,91,0,45,8,4,34,0,0,0,0,0,0,0,0
2021-02-01 09:45,110,0,54,2,9,45,0,0,0,0,0,0,0,0
2021-02-01 10:00,97,2,50,8,7,29,1,0,0,0,0,0,0,0
2021-02-01 10:15,107,1,62,5,12,26,1,0,0,0,0,0,0,0
2021-02-01 10:30,93,0,41,5,5,42,0,0,0,0,0,0,0,0
2021-02-01 10:45,104,1,59,3,6,35,0,0,0,0,0,0,0,0
2021-02-01 11:00,85,0,48,1,10,26,0,0,0,0,0,0,0,0
2021-02-01 11:15,103,1,49,12,4,36,1,0,0,0,0,0,0,0
2021-02-01 11:30,102,0,52,5,10,32,3,0,0,0,0,0,0,0
2021-02-01 11:45,112,0,60,8,5,39,0,0,0,0,0,0,0,0
2021-02-01 12:00,124,1,60,8,5,50,0,0,0,0,0,0,0,0
2021-02-01 12:15,117,1,64,8,4,40,0,0,0,0,0,0,0,0
2021-02-01 12:30,129,0,61,4,6,58,0,0,0,0,0,0,0,0
2021-02-01 12:45,144,1,70,8,13,52,0,0,0,0,0,0,0,0
2021-02-01 13:00,116,1,60,9,5,41,0,0,0,0,0,0,0,0
2021-02-01 13:15,130,1,72,9,7,40,1,0,0,0,0,0,0,0
2021-02-01 13:30,127,0,69,7,6,45,0,0,0,0,0,0,0,0
2021-02-01 13:45,138,1,75,6,10,46,0,0,0,0,0,0,0,0
2021-02-01 14:00,135,1,63,6,10,54,1,0,0,0,0,0,0,0
2021-02-01 14:15,128,0,49,10,12,56,1,0,0,0,0,0,0,0
2021-02-01 14:30,130,2,61,12,9,45,1,0,0,0,0,0,0,0
2021-02-01 14:45,201,0,108,7,13,73,0,0,0,0,0,0,0,0
2021-02-01 15:00,149,0,62,8,13,66,0,0,0,0,0,0,0,0
2021-02-01 15:15,156,0,79,13,8,56,0,0,0,0,0,0,0,0
2021-02-01 15:30,203,1,90,11,22,78,1,0,0,0,0,0,0,0
2021-02-01 15:45,184,0,77,24,4,79,0,0,0,0,0,0,0,0
2021-02-01 16:00,194,1,89,18,6,80,0,0,0,0,0,0,0,0
2021-02-01 16:15,200,3,89,15,12,81,0,0,0,0,0,0,0,0
2021-02-01 16:30,193,1,72,14,12,93,1,0,0,0,0,0,0,0
2021-02-01 16:45,196,1,83,15,13,84,0,0,0,0,0,0,0,0
2021-02-01 17:00,213,0,88,23,13,89,0,0,0,0,0,0,0,0
2021-02-01 17:15,219,1,89,17,13,98,1,0,0,0,0,0,0,0
2021-02-01 17:30,209,1,80,28,12,87,1,0,0,0,0,0,0,0
2021-02-01 17:45,172,2,75,14,7,74,0,0,0,0,0,0,0,0
2021-02-01 18:00,189,1,81,17,14,75,1,0,0,0,0,0,0,0
2021-02-01 18:15,131,2,53,14,8,54,0,0,0,0,0,0,0,0
2021-02-01 18:30,128,0,50,14,6,58,0,0,0,0,0,0,0,0
2021-02-01 18:45,139,1,65,10,10,53,0,0,0,0,0,0,0,0
2021-02-01 19:00,100,1,39,16,5,39,0,0,0,0,0,0,0,0
2021-02-01 19:15,79,0,29,13,5,32,0,0,0,0,0,0,0,0
2021-02-01 19:30,86,0,32,13,6,35,0,0,0,0,0,0,0,0
2021-02-01 19:45,70,4,26,13,4,23,0,0,0,0,0,0,0,0
2021-02-01 20:00,65,1,32,6,4,22,0,0,0,0,0,0,0,0
2021-02-01 20:15,58,0,23,7,2,26,0,0,0,0,0,0,0,0
2021-02-01 20:30,56,0,24,6,5,21,0,0,0,0,0,0,0,0
2021-02-01 20:45,48,1,15,2,1,29,0,0,0,0,0,0,0,0
2021-02-01 21:00,43,1,22,8,2,10,0,0,0,0,0,0,0,0
2021-02-01 21:15,41,0,13,6,2,20,0,0,0,0,0,0,0,0
2021-02-01 21:30,24,0,6,6,0,11,1,0,0,0,0,0,0,0
2021-02-01 21:45,24,1,12,2,0,9,0,0,0,0,0,0,0,0
2021-02-01 22:00,20,0,9,1,2,8,0,0,0,0,0,0,0,0
2021-02-01 22:15,27,1,12,4,1,9,0,0,0,0,0,0,0,0
2021-02-01 22:30,14,0,5,1,1,7,0,0,0,0,0,0,0,0
2021-02-01 22:45,11,0,5,2,0,4,0,0,0,0,0,0,0,0
2021-02-01 23:00,20,0,9,3,1,7,0,0,0,0,0,0,0,0
2021-02-01 23:15,11,0,2,3,1,5,0,0,0,0,0,0,0,0
2021-02-01 23:30,12,0,4,3,0,5,0,0,0,0,0,0,0,0
2021-02-01 23:45,8,0,1,2,1,4,0,0,0,0,0,0,0,0
2021-02-02 00:00,11,0,2,2,0,7,0,0,0,0,0,0,0,0
2021-02-02 00:15,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-02-02 00:30,4,0,2,2,0,0,0,0,0,0,0,0,0,0
2021-02-02 00:45,4,0,1,1,0,2,0,0,0,0,0,0,0,0
2021-02-02 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02 01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02 01:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-02 01:45,3,0,1,0,1,1,0,0,0,0,0,0,0,0
2021-02-02 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02 02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02 02:30,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2021-02-02 02:45,3,0,2,0,1,0,0,0,0,0,0,0,0,0
2021-02-02 03:00,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-02 03:15,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-02-02 03:30,3,0,1,1,0,1,0,0,0,0,0,0,0,0
2021-02-02 03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02 04:00,3,0,1,1,0,1,0,0,0,0,0,0,0,0
2021-02-02 04:15,4,0,3,0,0,1,0,0,0,0,0,0,0,0
2021-02-02 04:30,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-02 04:45,8,1,1,0,1,5,0,0,0,0,0,0,0,0
2021-02-02 05:00,10,0,8,1,0,1,0,0,0,0,0,0,0,0
2021-02-02 05:15,18,0,10,1,1,6,0,0,0,0,0,0,0,0
2021-02-02 05:30,25,0,12,3,1,9,0,0,0,0,0,0,0,0
2021-02-02 05:45,28,1,15,2,0,10,0,0,0,0,0,0,0,0
2021-02-02 06:00,43,1,22,5,1,14,0,0,0,0,0,0,0,0
2021-02-02 06:15,72,1,40,5,3,23,0,0,0,0,0,0,0,0
2021-02-02 06:30,74,0,39,4,5,26,0,0,0,0,0,0,0,0
2021-02-02 06:45,114,1,77,1,11,24,0,0,0,0,0,0,0,0
2021-02-02 07:00,123,1,71,6,6,39,0,0,0,0,0,0,0,0
2021-02-02 07:15,164,1,94,6,20,43,0,0,0,0,0,0,0,0
2021-02-02 07:30,163,1,89,2,16,55,0,0,0,0,0,0,0,0
2021-02-02 07:45,267,1,146,7,26,86,1,0,0,0,0,0,0,0
2021-02-02 08:00,182,0,94,7,14,65,2,0,0,0,0,0,0,0
2021-02-02 08:15,175,0,100,5,14,56,0,0,0,0,0,0,0,0
2021-02-02 08:30,167,2,92,8,11,54,0,0,0,0,0,0,0,0
2021-02-02 08:45,186,0,114,4,17,51,0,0,0,0,0,0,0,0
2021-02-02 09:00,105,2,66,3,10,24,0,0,0,0,0,0,0,0
2021-02-02 09:15,120,1,64,7,6,42,0,0,0,0,0,0,0,0
2021-02-02 09:30,117,0,68,2,5,41,1,0,0,0,0,0,0,0
2021-02-02 09:45,114,1,61,4,5,42,1,0,0,0,0,0,0,0
2021-02-02 10:00,79,0,45,9,3,22,0,0,0,0,0,0,0,0
2021-02-02 10:15,81,0,48,5,6,22,0,0,0,0,0,0,0,0
2021-02-02 10:30,58,1,35,4,3,15,0,0,0,0,0,0,0,0
2021-02-02 10:45,91,0,51,6,9,24,1,0,0,0,0,0,0,0
2021-02-02 11:00,64,0,32,9,2,21,0,0,0,0,0,0,0,0
2021-02-02 11:15,78,0,42,4,7,25,0,0,0,0,0,0,0,0
2021-02-02 11:30,67,0,28,4,3,32,0,0,0,0,0,0,0,0
2021-02-02 11:45,91,2,43,8,5,33,0,0,0,0,0,0,0,0
2021-02-02 12:00,77,2,32,8,9,26,0,0,0,0,0,0,0,0
2021-02-02 12:15,92,1,47,5,9,29,1,0,0,0,0,0,0,0
2021-02-02 12:30,102,0,51,5,7,39,0,0,0,0,0,0,0,0
2021-02-02 12:45,106,0,47,6,10,41,2,0,0,0,0,0,0,0
2021-02-02 13:00,96,0,40,9,1,45,1,0,0,0,0,0,0,0
2021-02-02 13:15,96,1,44,6,3,42,0,0,0,0,0,0,0,0
2021-02-02 13:30,91,1,44,7,2,36,1,0,0,0,0,0,0,0
2021-02-02 13:45,110,0,53,7,6,43,1,0,0,0,0,0,0,0
2021-02-02 14:00,104,1,47,9,3,43,1,0,0,0,0,0,0,0
2021-02-02 14:15,105,0,55,7,5,37,1,0,0,0,0,0,0,0
2021-02-02 14:30,93,0,48,5,5,35,0,0,0,0,0,0,0,0
2021-02-02 14:45,112,0,60,4,8,40,0,0,0,0,0,0,0,0
2021-02-02 15:00,114,2,42,8,7,54,1,0,0,0,0,0,0,0
2021-02-02 15:15,112,0,55,5,9,43,0,0,0,0,0,0,0,0
2021-02-02 15:30,113,0,45,9,11,48,0,0,0,0,0,0,0,0
2021-02-02 15:45,165,0,85,13,9,58,0,0,0,0,0,0,0,0
2021-02-02 16:00,177,2,75,16,15,68,1,0,0,0,0,0,0,0
2021-02-02 16:15,188,0,78,19,14,77,0,0,0,0,0,0,0,0
2021-02-02 16:30,160,0,80,9,10,61,0,0,0,0,0,0,0,0
2021-02-02 16:45,187,1,71,24,10,79,2,0,0,0,0,0,0,0
2021-02-02 17:00,173,1,79,18,12,62,1,0,0,0,0,0,0,0
2021-02-02 17:15,200,0,93,19,13,75,0,0,0,0,0,0,0,0
2021-02-02 17:30,177,1,70,32,9,64,1,0,0,0,0,0,0,0
2021-02-02 17:45,178,1,80,23,9,64,1,0,0,0,0,0,0,0
2021-02-02 18:00,170,1,70,24,10,64,1,0,0,0,0,0,0,0
2021-02-02 18:15,159,1,60,29,11,56,2,0,0,0,0,0,0,0
2021-02-02 18:30,125,0,59,12,7,47,0,0,0,0,0,0,0,0
2021-02-02 18:45,96,1,39,18,5,33,0,0,0,0,0,0,0,0
2021-02-02 19:00,121,3,40,17,9,51,1,0,0,0,0,0,0,0
2021-02-02 19:15,107,1,42,19,3,42,0,0,0,0,0,0,0,0
2021-02-02 19:30,80,0,36,12,5,27,0,0,0,0,0,0,0,0
2021-02-02 19:45,75,0,30,10,5,30,0,0,0,0,0,0,0,0
2021-02-02 20:00,76,2,33,10,3,27,1,0,0,0,0,0,0,0
2021-02-02 20:15,54,1,28,5,5,15,0,0,0,0,0,0,0,0
2021-02-02 20:30,50,0,23,6,2,19,0,0,0,0,0,0,0,0
2021-02-02 20:45,29,2,13,3,5,6,0,0,0,0,0,0,0,0
2021-02-02 21:00,50,2,16,10,2,20,0,0,0,0,0,0,0,0
2021-02-02 21:15,51,0,20,8,2,21,0,0,0,0,0,0,0,0
2021-02-02 21:30,26,0,9,3,2,12,0,0,0,0,0,0,0,0
2021-02-02 21:45,37,0,16,7,1,13,0,0,0,0,0,0,0,0
2021-02-02 22:00,19,0,11,3,1,3,1,0,0,0,0,0,0,0
2021-02-02 22:15,30,2,14,3,3,8,0,0,0,0,0,0,0,0
2021-02-02 22:30,28,0,13,6,2,7,0,0,0,0,0,0,0,0
2021-02-02 22:45,19,1,7,5,0,6,0,0,0,0,0,0,0,0
2021-02-02 23:00,26,1,4,7,2,12,0,0,0,0,0,0,0,0
2021-02-02 23:15,13,1,6,3,0,3,0,0,0,0,0,0,0,0
2021-02-02 23:30,21,0,11,1,2,7,0,0,0,0,0,0,0,0
2021-02-02 23:45,14,0,8,1,0,5,0,0,0,0,0,0,0,0
2021-02-03 00:00,8,1,3,1,1,2,0,0,0,0,0,0,0,0
2021-02-03 00:15,9,0,2,3,0,4,0,0,0,0,0,0,0,0
2021-02-03 00:30,8,1,2,1,1,3,0,0,0,0,0,0,0,0
2021-02-03 00:45,4,0,2,1,1,0,0,0,0,0,0,0,0,0
2021-02-03 01:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-02-03 01:15,3,0,0,1,0,2,0,0,0,0,0,0,0,0
2021-02-03 01:30,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-02-03 01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 02:00,3,0,2,0,0,1,0,0,0,0,0,0,0,0
2021-02-03 02:15,4,0,0,1,1,2,0,0,0,0,0,0,0,0
2021-02-03 02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 02:45,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2021-02-03 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 03:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 03:45,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 04:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-02-03 04:15,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-02-03 04:30,5,0,3,1,0,1,0,0,0,0,0,0,0,0
2021-02-03 04:45,6,0,2,2,1,1,0,0,0,0,0,0,0,0
2021-02-03 05:00,5,1,3,0,0,1,0,0,0,0,0,0,0,0
2021-02-03 05:15,15,0,11,1,0,3,0,0,0,0,0,0,0,0
2021-02-03 05:30,22,0,10,6,1,5,0,0,0,0,0,0,0,0
2021-02-03 05:45,39,0,19,5,3,12,0,0,0,0,0,0,0,0
2021-02-03 06:00,40,0,24,2,3,11,0,0,0,0,0,0,0,0
2021-02-03 06:15,60,0,35,1,1,23,0,0,0,0,0,0,0,0
2021-02-03 06:30,77,0,41,10,2,24,0,0,0,0,0,0,0,0
2021-02-03 06:45,102,0,69,1,5,27,0,0,0,0,0,0,0,0
2021-02-03 07:00,118,0,69,7,10,32,0,0,0,0,0,0,0,0
2021-02-03 07:15,168,0,91,6,17,53,1,0,0,0,0,0,0,0
2021-02-03 07:30,177,0,90,10,17,60,0,0,0,0,0,0,0,0
2021-02-03 07:45,256,0,150,8,23,74,1,0,0,0,0,0,0,0
2021-02-03 08:00,156,0,92,8,11,45,0,0,0,0,0,0,0,0
2021-02-03 08:15,198,0,115,7,17,57,2,0,0,0,0,0,0,0
2021-02-03 08:30,173,1,91,9,13,56,3,0,0,0,0,0,0,0
2021-02-03 08:45,191,0,112,5,19,55,0,0,0,0,0,0,0,0
2021-02-03 09:00,124,1,71,4,7,40,1,0,0,0,0,0,0,0
2021-02-03 09:15,130,1,68,10,9,42,0,0,0,0,0,0,0,0
2021-02-03 09:30,99,0,63,6,8,21,1,0,0,0,0,0,0,0
2021-02-03 09:45,124,1,78,5,5,34,1,0,0,0,0,0,0,0
2021-02-03 10:00,112,0,58,10,6,37,1,0,0,0,0,0,0,0
2021-02-03 10:15,109,2,59,5,8,35,0,0,0,0,0,0,0,0
2021-02-03 10:30,129,3,65,9,11,41,0,0,0,0,0,0,0,0
2021-02-03 10:45,129,0,65,11,10,41,2,0,0,0,0,0,0,0
2021-02-03 11:00,98,1,48,6,12,30,1,0,0,0,0,0,0,0
2021-02-03 11:15,111,0,48,11,7,45,0,0,0,0,0,0,0,0
2021-02-03 11:30,99,1,51,8,6,33,0,0,0,0,0,0,0,0
2021-02-03 11:45,128,1,56,15,7,49,0,0,0,0,0,0,0,0
2021-02-03 12:00,78,1,35,2,8,32,0,0,0,0,0,0,0,0
2021-02-03 12:15,107,0,44,14,5,44,0,0,0,0,0,0,0,0
2021-02-03 12:30,101,0,47,12,3,39,0,0,0,0,0,0,0,0
2021-02-03 12:45,114,3,49,11,6,44,1,0,0,0,0,0,0,0
2021-02-03 13:00,110,0,52,7,7,44,0,0,0,0,0,0,0,0
2021-02-03 13:15,107,1,46,7,13,40,0,0,0,0,0,0,0,0
2021-02-03 13:30,100,1,43,9,7,40,0,0,0,0,0,0,0,0
2021-02-03 13:45,91,1,46,6,4,34,0,0,0,0,0,0,0,0
2021-02-03 14:00,106,1,47,6,8,43,1,0,0,0,0,0,0,0
2021-02-03 14:15,99,0,50,7,7,35,0,0,0,0,0,0,0,0
2021-02-03 14:30,86,0,46,8,3,29,0,0,0,0,0,0,0,0
2021-02-03 14:45,106,0,50,8,5,42,1,0,0,0,0,0,0,0
2021-02-03 15:00,107,1,52,10,5,39,0,0,0,0,0,0,0,0
2021-02-03 15:15,95,0,47,6,5,37,0,0,0,0,0,0,0,0
2021-02-03 15:30,99,1,37,12,8,40,1,0,0,0,0,0,0,0
2021-02-03 15:45,126,0,71,11,6,38,0,0,0,0,0,0,0,0
2021-02-03 16:00,152,0,58,15,15,63,1,0,0,0,0,0,0,0
2021-02-03 16:15,140,1,55,20,13,50,1,0,0,0,0,0,0,0
2021-02-03 16:30,162,1,79,13,9,60,0,0,0,0,0,0,0,0
2021-02-03 16:45,148,0,64,14,11,57,2,0,0,0,0,0,0,0
2021-02-03 17:00,152,2,53,19,6,71,1,0,0,0,0,0,0,0
2021-02-03 17:15,171,1,83,19,10,57,1,0,0,0,0,0,0,0
2021-02-03 17:30,132,0,50,11,9,61,1,0,0,0,0,0,0,0
2021-02-03 17:45,155,3,53,24,16,59,0,0,0,0,0,0,0,0
2021-02-03 18:00,151,0,49,20,12,68,2,0,0,0,0,0,0,0
2021-02-03 18:15,135,4,43,24,17,46,1,0,0,0,0,0,0,0
2021-02-03 18:30,125,1,51,13,9,51,0,0,0,0,0,0,0,0
2021-02-03 18:45,108,1,34,12,16,45,0,0,0,0,0,0,0,0
2021-02-03 19:00,87,0,32,13,6,36,0,0,0,0,0,0,0,0
2021-02-03 19:15,75,1,34,9,2,29,0,0,0,0,0,0,0,0
2021-02-03 19:30,69,1,25,11,3,28,1,0,0,0,0,0,0,0
2021-02-03 19:45,73,0,34,13,3,23,0,0,0,0,0,0,0,0
2021-02-03 20:00,58,3,22,9,2,22,0,0,0,0,0,0,0,0
2021-02-03 20:15,66,2,28,10,3,23,0,0,0,0,0,0,0,0
2021-02-03 20:30,48,2,16,9,0,21,0,0,0,0,0,0,0,0
2021-02-03 20:45,38,1,17,6,3,11,0,0,0,0,0,0,0,0
2021-02-03 21:00,31,0,15,5,3,7,1,0,0,0,0,0,0,0
2021-02-03 21:15,26,1,11,5,0,9,0,0,0,0,0,0,0,0
2021-02-03 21:30,19,0,6,3,2,8,0,0,0,0,0,0,0,0
2021-02-03 21:45,26,0,9,4,2,11,0,0,0,0,0,0,0,0
2021-02-03 22:00,19,0,11,3,2,2,1,0,0,0,0,0,0,0
2021-02-03 22:15,20,0,10,2,2,6,0,0,0,0,0,0,0,0
2021-02-03 22:30,25,2,13,3,1,5,1,0,0,0,0,0,0,0
2021-02-03 22:45,37,1,14,4,4,14,0,0,0,0,0,0,0,0
2021-02-03 23:00,23,1,9,2,4,6,1,0,0,0,0,0,0,0
2021-02-03 23:15,16,1,8,3,2,2,0,0,0,0,0,0,0,0
2021-02-03 23:30,9,0,5,1,0,3,0,0,0,0,0,0,0,0
2021-02-03 23:45,12,0,6,0,2,4,0,0,0,0,0,0,0,0
2021-02-04 00:00,9,0,3,3,0,3,0,0,0,0,0,0,0,0
2021-02-04 00:15,10,0,7,1,1,1,0,0,0,0,0,0,0,0
2021-02-04 00:30,15,1,6,3,2,3,0,0,0,0,0,0,0,0
2021-02-04 00:45,7,0,5,0,1,1,0,0,0,0,0,0,0,0
2021-02-04 01:00,8,1,4,1,0,2,0,0,0,0,0,0,0,0
2021-02-04 01:15,5,0,1,2,0,2,0,0,0,0,0,0,0,0
2021-02-04 01:30,4,0,2,1,0,1,0,0,0,0,0,0,0,0
2021-02-04 01:45,7,0,2,0,2,3,0,0,0,0,0,0,0,0
2021-02-04 02:00,2,0,0,0,1,1,0,0,0,0,0,0,0,0
2021-02-04 02:15,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-02-04 02:30,4,0,2,0,2,0,0,0,0,0,0,0,0,0
2021-02-04 02:45,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-02-04 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04 03:15,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-02-04 03:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-04 03:45,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-04 04:00,2,0,0,1,0,1,0,0,0,0,0,0,0,0
2021-02-04 04:15,3,0,2,1,0,0,0,0,0,0,0,0,0,0
2021-02-04 04:30,4,0,2,1,0,1,0,0,0,0,0,0,0,0
2021-02-04 04:45,6,0,0,3,1,2,0,0,0,0,0,0,0,0
2021-02-04 05:00,5,1,1,0,1,2,0,0,0,0,0,0,0,0
2021-02-04 05:15,13,0,10,0,0,3,0,0,0,0,0,0,0,0
2021-02-04 05:30,26,0,9,5,0,12,0,0,0,0,0,0,0,0
2021-02-04 05:45,32,0,21,1,2,8,0,0,0,0,0,0,0,0
2021-02-04 06:00,42,0,25,2,3,12,0,0,0,0,0,0,0,0
2021-02-04 06:15,67,0,33,6,2,26,0,0,0,0,0,0,0,0
2021-02-04 06:30,63,0,34,5,0,24,0,0,0,0,0,0,0,0
2021-02-04 06:45,127,0,82,6,13,26,0,0,0,0,0,0,0,0
2021-02-04 07:00,124,0,73,8,7,36,0,0,0,0,0,0,0,0
2021-02-04 07:15,162,1,99,6,19,37,0,0,0,0,0,0,0,0
2021-02-04 07:30,192,0,109,7,15,61,0,0,0,0,0,0,0,0
2021-02-04 07:45,262,0,144,7,30,81,0,0,0,0,0,0,0,0
2021-02-04 08:00,157,1,85,11,10,50,0,0,0,0,0,0,0,0
2021-02-04 08:15,204,0,105,13,11,74,1,0,0,0,0,0,0,0
2021-02-04 08:30,184,0,112,5,11,55,1,0,0,0,0,0,0,0
2021-02-04 08:45,203,5,117,8,17,56,0,0,0,0,0,0,0,0
2021-02-04 09:00,127,0,77,2,6,42,0,0,0,0,0,0,0,0
2021-02-04 09:15,115,0,62,9,7,37,0,0,0,0,0,0,0,0
2021-02-04 09:30,109,0,63,11,7,28,0,0,0,0,0,0,0,0
2021-02-04 09:45,154,1,87,15,5,46,0,0,0,0,0,0,0,0
2021-02-04 10:00,115,1,52,7,8,46,1,0,0,0,0,0,0,0
2021-02-04 10:15,118,1,59,8,13,35,2,0,0,0,0,0,0,0
2021-02-04 10:30,95,2,46,6,8,33,0,0,0,0,0,0,0,0
2021-02-04 10:45,139,1,73,7,18,38,2,0,0,0,0,0,0,0
2021-02-04 11:00,131,0,63,8,15,42,3,0,0,0,0,0,0,0
2021-02-04 11:15,149,0,81,10,6,52,0,0,0,0,0,0,0,0
2021-02-04 11:30,123,0,54,8,7,53,1,0,0,0,0,0,0,0
2021-02-04 11:45,148,1,75,10,13,49,0,0,0,0,0,0,0,0
2021-02-04 12:00,150,2,66,13,15,52,2,0,0,0,0,0,0,0
2021-02-04 12:15,171,4,79,8,10,69,1,0,0,0,0,0,0,0
2021-02-04 12:30,156,0,66,15,10,65,0,0,0,0,0,0,0,0
2021-02-04 12:45,182,0,93,18,7,63,1,0,0,0,0,0,0,0
2021-02-04 13:00,159,0,72,9,12,66,0,0,0,0,0,0,0,0
2021-02-04 13:15,175,1,75,19,8,72,0,0,0,0,0,0,0,0
2021-02-04 13:30,178,1,76,17,14,68,2,0,0,0,0,0,0,0
2021-02-04 13:45,181,3,97,8,13,59,1,0,0,0,0,0,0,0
2021-02-04 14:00,170,2,78,11,13,66,0,0,0,0,0,0,0,0
2021-02-04 14:15,220,0,104,22,15,79,0,0,0,0,0,0,0,0
2021-02-04 14:30,177,0,83,19,8,66,1,0,0,0,0,0,0,0
2021-02-04 14:45,214,0,113,11,21,68,1,0,0,0,0,0,0,0
2021-02-04 15:00,195,1,85,14,15,80,0,0,0,0,0,0,0,0
2021-02-04 15:15,210,3,101,24,18,63,1,0,0,0,0,0,0,0
2021-02-04 15:30,180,1,70,18,12,79,0,0,0,0,0,0,0,0
2021-02-04 15:45,252,0,123,22,25,81,1,0,0,0,0,0,0,0
2021-02-04 16:00,257,2,119,28,25,80,3,0,0,0,0,0,0,0
